"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 13 14:42:30 GMT 2022","Thu Oct 13 14:43:08 GMT 2022","38059","","Cleaning Session Service (basic)","","Cleaning Session Service (basic)","Hit northeast corner","Hit northeast corner",""
"failed","Thu Oct 13 14:43:03 GMT 2022","Thu Oct 13 14:43:39 GMT 2022","36581","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""-10"",""y"":""5"",""known_issues"":""6""}","invalid room size values {""x"":""-10"",""y"":""5"",""known_issues"":""6""}",""
"passed","Thu Oct 13 14:52:51 GMT 2022","Thu Oct 13 14:53:28 GMT 2022","36489","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""9999999999999999999999999999999999999999999999999999999999999999999999999999"",""y"":""5"",""known_issues"":""""}","invalid dirt patch position values {""x"":""9999999999999999999999999999999999999999999999999999999999999999999999999999"",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:41:47 GMT 2022","Thu Oct 13 14:42:22 GMT 2022","35499","","Cleaning Session Service (basic)","","Cleaning Session Service (basic)","multiple pickups","multiple pickups",""
"failed","Thu Oct 13 14:44:59 GMT 2022","Thu Oct 13 14:45:32 GMT 2022","32626","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""5"",""y"":""\""\"""",""known_issues"":""5""}","invalid room size values {""x"":""5"",""y"":""\""\"""",""known_issues"":""5""}",""
"passed","Thu Oct 13 14:49:20 GMT 2022","Thu Oct 13 14:49:56 GMT 2022","35830","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""5"",""y"":""{\""a\"":\""b\""}"",""known_issues"":""""}","invalid hoover start position values {""x"":""5"",""y"":""{\""a\"":\""b\""}"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:49:13 GMT 2022","Thu Oct 13 14:49:51 GMT 2022","38025","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""5"",""y"":""[1]"",""known_issues"":""""}","invalid hoover start position values {""x"":""5"",""y"":""[1]"",""known_issues"":""""}",""
"failed","Thu Oct 13 14:43:04 GMT 2022","Thu Oct 13 14:43:44 GMT 2022","39708","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""0"",""y"":""5"",""known_issues"":""6""}","invalid room size values {""x"":""0"",""y"":""5"",""known_issues"":""6""}",""
"failed","Thu Oct 13 14:46:29 GMT 2022","Thu Oct 13 14:47:05 GMT 2022","36344","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""-1"",""y"":""5"",""known_issues"":""8""}","invalid hoover start position values {""x"":""-1"",""y"":""5"",""known_issues"":""8""}",""
"passed","Thu Oct 13 14:44:19 GMT 2022","Thu Oct 13 14:44:52 GMT 2022","33827","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""[]"",""y"":""5"",""known_issues"":""""}","invalid room size values {""x"":""[]"",""y"":""5"",""known_issues"":""""}",""
"failed","Thu Oct 13 14:45:23 GMT 2022","Thu Oct 13 14:46:00 GMT 2022","36771","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""5"",""y"":""null"",""known_issues"":""5""}","invalid room size values {""x"":""5"",""y"":""null"",""known_issues"":""5""}",""
"failed","Thu Oct 13 14:41:13 GMT 2022","Thu Oct 13 14:41:36 GMT 2022","22328","","Cleaning Session Service (basic)","","Cleaning Session Service (basic)","Starts on a patch with no move instructions @issue:1","Starts on a patch with no move instructions @issue:1",""
"passed","Thu Oct 13 14:50:46 GMT 2022","Thu Oct 13 14:51:20 GMT 2022","33894","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""{\""a\"":\""b\""}"",""y"":""5"",""known_issues"":""""}","invalid dirt patch position values {""x"":""{\""a\"":\""b\""}"",""y"":""5"",""known_issues"":""""}",""
"failed","Thu Oct 13 14:48:43 GMT 2022","Thu Oct 13 14:49:13 GMT 2022","29880","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""5"",""y"":""null"",""known_issues"":""10""}","invalid hoover start position values {""x"":""5"",""y"":""null"",""known_issues"":""10""}",""
"passed","Thu Oct 13 14:52:27 GMT 2022","Thu Oct 13 14:52:59 GMT 2022","31832","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""5"",""y"":""[]"",""known_issues"":""""}","invalid dirt patch position values {""x"":""5"",""y"":""[]"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:44:16 GMT 2022","Thu Oct 13 14:44:48 GMT 2022","32486","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""{\""a\"":\""b\""}"",""y"":""5"",""known_issues"":""""}","invalid room size values {""x"":""{\""a\"":\""b\""}"",""y"":""5"",""known_issues"":""""}",""
"failed","Thu Oct 13 14:42:57 GMT 2022","Thu Oct 13 14:43:33 GMT 2022","36160","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""-1"",""y"":""5"",""known_issues"":""6""}","invalid room size values {""x"":""-1"",""y"":""5"",""known_issues"":""6""}",""
"passed","Thu Oct 13 14:42:23 GMT 2022","Thu Oct 13 14:42:57 GMT 2022","34105","","Cleaning Session Service (basic)","","Cleaning Session Service (basic)","Hit east wall","Hit east wall",""
"passed","Thu Oct 13 14:49:11 GMT 2022","Thu Oct 13 14:49:42 GMT 2022","31522","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""5"",""y"":""[]"",""known_issues"":""""}","invalid hoover start position values {""x"":""5"",""y"":""[]"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:47:04 GMT 2022","Thu Oct 13 14:47:37 GMT 2022","32247","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""false"",""y"":""5"",""known_issues"":""""}","invalid hoover start position values {""x"":""false"",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:48:58 GMT 2022","Thu Oct 13 14:49:32 GMT 2022","34272","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""5"",""y"":""{}"",""known_issues"":""""}","invalid hoover start position values {""x"":""5"",""y"":""{}"",""known_issues"":""""}",""
"failed","Thu Oct 13 14:52:58 GMT 2022","Thu Oct 13 14:53:31 GMT 2022","33280","","Cleaning Session Service (reuse server instance)","","Cleaning Session Service (reuse server instance)","No patches covered after previous pickup @issue:2","No patches covered after previous pickup @issue:2",""
"passed","Thu Oct 13 14:48:07 GMT 2022","Thu Oct 13 14:48:43 GMT 2022","35717","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""5"",""y"":""\""a\"""",""known_issues"":""""}","invalid hoover start position values {""x"":""5"",""y"":""\""a\"""",""known_issues"":""""}",""
"passed","Thu Oct 13 14:41:36 GMT 2022","Thu Oct 13 14:42:12 GMT 2022","36505","","Cleaning Session Service (basic)","","Cleaning Session Service (basic)","Tiny room","Tiny room",""
"passed","Thu Oct 13 14:52:26 GMT 2022","Thu Oct 13 14:52:57 GMT 2022","30803","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""5"",""y"":""[1]"",""known_issues"":""""}","invalid dirt patch position values {""x"":""5"",""y"":""[1]"",""known_issues"":""""}",""
"failed","Thu Oct 13 14:49:58 GMT 2022","Thu Oct 13 14:50:34 GMT 2022","36289","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""null"",""y"":""5"",""known_issues"":""3""}","invalid dirt patch position values {""x"":""null"",""y"":""5"",""known_issues"":""3""}",""
"passed","Thu Oct 13 14:42:26 GMT 2022","Thu Oct 13 14:43:04 GMT 2022","37712","","Cleaning Session Service (basic)","","Cleaning Session Service (basic)","Hit west wall","Hit west wall",""
"passed","Thu Oct 13 14:52:21 GMT 2022","Thu Oct 13 14:52:51 GMT 2022","30425","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""5"",""y"":""{}"",""known_issues"":""""}","invalid dirt patch position values {""x"":""5"",""y"":""{}"",""known_issues"":""""}",""
"failed","Thu Oct 13 14:49:51 GMT 2022","Thu Oct 13 14:50:20 GMT 2022","28647","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""0"",""y"":""5"",""known_issues"":""""}","invalid dirt patch position values {""x"":""0"",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:45:57 GMT 2022","Thu Oct 13 14:46:29 GMT 2022","32301","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""5"",""y"":""{\""a\"":\""b\""}"",""known_issues"":""""}","invalid room size values {""x"":""5"",""y"":""{\""a\"":\""b\""}"",""known_issues"":""""}",""
"failed","Thu Oct 13 14:46:33 GMT 2022","Thu Oct 13 14:47:04 GMT 2022","30726","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""0"",""y"":""5"",""known_issues"":""9""}","invalid hoover start position values {""x"":""0"",""y"":""5"",""known_issues"":""9""}",""
"failed","Thu Oct 13 14:47:42 GMT 2022","Thu Oct 13 14:48:19 GMT 2022","36530","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""5"",""y"":""-1"",""known_issues"":""10""}","invalid hoover start position values {""x"":""5"",""y"":""-1"",""known_issues"":""10""}",""
"passed","Thu Oct 13 14:50:34 GMT 2022","Thu Oct 13 14:51:06 GMT 2022","32122","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""[1]"",""y"":""5"",""known_issues"":""""}","invalid dirt patch position values {""x"":""[1]"",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:43:09 GMT 2022","Thu Oct 13 14:43:47 GMT 2022","38349","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""\""aa\"""",""y"":""5"",""known_issues"":""""}","invalid room size values {""x"":""\""aa\"""",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:41:13 GMT 2022","Thu Oct 13 14:41:55 GMT 2022","41811","","Cleaning Session Service (basic)","","Cleaning Session Service (basic)","starts on patch","starts on patch",""
"failed","Thu Oct 13 14:48:14 GMT 2022","Thu Oct 13 14:48:48 GMT 2022","34520","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""5"",""y"":""-10"",""known_issues"":""10""}","invalid hoover start position values {""x"":""5"",""y"":""-10"",""known_issues"":""10""}",""
"passed","Thu Oct 13 14:41:15 GMT 2022","Thu Oct 13 14:41:47 GMT 2022","31649","","Cleaning Session Service (basic)","","Cleaning Session Service (basic)","Nothing to clean","Nothing to clean",""
"failed","Thu Oct 13 14:51:36 GMT 2022","Thu Oct 13 14:52:13 GMT 2022","36367","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""5"",""y"":""-10"",""known_issues"":""""}","invalid dirt patch position values {""x"":""5"",""y"":""-10"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:50:21 GMT 2022","Thu Oct 13 14:50:54 GMT 2022","33339","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""false"",""y"":""5"",""known_issues"":""""}","invalid dirt patch position values {""x"":""false"",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:46:58 GMT 2022","Thu Oct 13 14:47:29 GMT 2022","31340","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""true"",""y"":""5"",""known_issues"":""""}","invalid hoover start position values {""x"":""true"",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:43:45 GMT 2022","Thu Oct 13 14:44:19 GMT 2022","33604","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""false"",""y"":""5"",""known_issues"":""""}","invalid room size values {""x"":""false"",""y"":""5"",""known_issues"":""""}",""
"failed","Thu Oct 13 14:44:28 GMT 2022","Thu Oct 13 14:44:59 GMT 2022","30533","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""5"",""y"":""-1"",""known_issues"":""7""}","invalid room size values {""x"":""5"",""y"":""-1"",""known_issues"":""7""}",""
"failed","Thu Oct 13 14:48:02 GMT 2022","Thu Oct 13 14:48:37 GMT 2022","35374","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""5"",""y"":""0"",""known_issues"":""10""}","invalid hoover start position values {""x"":""5"",""y"":""0"",""known_issues"":""10""}",""
"failed","Thu Oct 13 14:43:15 GMT 2022","Thu Oct 13 14:43:48 GMT 2022","33028","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""null"",""y"":""5"",""known_issues"":""6""}","invalid room size values {""x"":""null"",""y"":""5"",""known_issues"":""6""}",""
"passed","Thu Oct 13 14:43:40 GMT 2022","Thu Oct 13 14:44:16 GMT 2022","36354","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""true"",""y"":""5"",""known_issues"":""""}","invalid room size values {""x"":""true"",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:41:57 GMT 2022","Thu Oct 13 14:42:28 GMT 2022","30440","","Cleaning Session Service (basic)","","Cleaning Session Service (basic)","Revisting already cleaned spots","Revisting already cleaned spots",""
"passed","Thu Oct 13 14:52:50 GMT 2022","Thu Oct 13 14:53:24 GMT 2022","33882","","Cleaning Session Service (reuse server instance)","","Cleaning Session Service (reuse server instance)","New patches covered after previous pickup","New patches covered after previous pickup",""
"failed","Thu Oct 13 14:53:27 GMT 2022","Thu Oct 13 14:53:38 GMT 2022","11653","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","duplicate dirt patch positions @issue:4","duplicate dirt patch positions @issue:4",""
"failed","Thu Oct 13 14:44:59 GMT 2022","Thu Oct 13 14:45:29 GMT 2022","30346","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""5"",""y"":""0.1"",""known_issues"":""5""}","invalid room size values {""x"":""5"",""y"":""0.1"",""known_issues"":""5""}",""
"passed","Thu Oct 13 14:45:54 GMT 2022","Thu Oct 13 14:46:26 GMT 2022","32792","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""5"",""y"":""[]"",""known_issues"":""""}","invalid room size values {""x"":""5"",""y"":""[]"",""known_issues"":""""}",""
"failed","Thu Oct 13 14:51:20 GMT 2022","Thu Oct 13 14:51:52 GMT 2022","32419","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""5"",""y"":""0"",""known_issues"":""""}","invalid dirt patch position values {""x"":""5"",""y"":""0"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:50:54 GMT 2022","Thu Oct 13 14:51:26 GMT 2022","31693","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""[]"",""y"":""5"",""known_issues"":""""}","invalid dirt patch position values {""x"":""[]"",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:46:38 GMT 2022","Thu Oct 13 14:47:10 GMT 2022","31586","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""\""aa\"""",""y"":""5"",""known_issues"":""""}","invalid hoover start position values {""x"":""\""aa\"""",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:51:26 GMT 2022","Thu Oct 13 14:51:55 GMT 2022","28918","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""5"",""y"":""\""a\"""",""known_issues"":""""}","invalid dirt patch position values {""x"":""5"",""y"":""\""a\"""",""known_issues"":""""}",""
"passed","Thu Oct 13 14:48:55 GMT 2022","Thu Oct 13 14:49:27 GMT 2022","31198","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""5"",""y"":""9999999999999999999999999999999999999999999999999999999999999999999999999999"",""known_issues"":""""}","invalid hoover start position values {""x"":""5"",""y"":""9999999999999999999999999999999999999999999999999999999999999999999999999999"",""known_issues"":""""}",""
