"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 13 14:47:29 GMT 2022","Thu Oct 13 14:48:02 GMT 2022","32619","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""{\""a\"":\""b\""}"",""y"":""5"",""known_issues"":""""}","invalid hoover start position values {""x"":""{\""a\"":\""b\""}"",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:41:16 GMT 2022","Thu Oct 13 14:41:57 GMT 2022","41178","","Cleaning Session Service (basic)","","Cleaning Session Service (basic)","service is running example","service is running example",""
"passed","Thu Oct 13 14:46:00 GMT 2022","Thu Oct 13 14:46:33 GMT 2022","32905","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""5"",""y"":""[1]"",""known_issues"":""""}","invalid room size values {""x"":""5"",""y"":""[1]"",""known_issues"":""""}",""
"failed","Thu Oct 13 14:51:43 GMT 2022","Thu Oct 13 14:52:20 GMT 2022","37413","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""5"",""y"":""\""\"""",""known_issues"":""3""}","invalid dirt patch position values {""x"":""5"",""y"":""\""\"""",""known_issues"":""3""}",""
"passed","Thu Oct 13 14:44:26 GMT 2022","Thu Oct 13 14:44:59 GMT 2022","32971","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""5"",""y"":""\""aa\"""",""known_issues"":""""}","invalid room size values {""x"":""5"",""y"":""\""aa\"""",""known_issues"":""""}",""
"failed","Thu Oct 13 14:49:56 GMT 2022","Thu Oct 13 14:50:32 GMT 2022","35826","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""-1"",""y"":""5"",""known_issues"":""""}","invalid dirt patch position values {""x"":""-1"",""y"":""5"",""known_issues"":""""}",""
"failed","Thu Oct 13 14:51:42 GMT 2022","Thu Oct 13 14:52:19 GMT 2022","37110","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""5"",""y"":""0.1"",""known_issues"":""""}","invalid dirt patch position values {""x"":""5"",""y"":""0.1"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:47:37 GMT 2022","Thu Oct 13 14:48:07 GMT 2022","30437","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""[]"",""y"":""5"",""known_issues"":""""}","invalid hoover start position values {""x"":""[]"",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:42:28 GMT 2022","Thu Oct 13 14:43:02 GMT 2022","34640","","Cleaning Session Service (basic)","","Cleaning Session Service (basic)","Hit south wall","Hit south wall",""
"passed","Thu Oct 13 14:43:49 GMT 2022","Thu Oct 13 14:44:26 GMT 2022","37376","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""[1]"",""y"":""5"",""known_issues"":""""}","invalid room size values {""x"":""[1]"",""y"":""5"",""known_issues"":""""}",""
"failed","Thu Oct 13 14:51:55 GMT 2022","Thu Oct 13 14:52:26 GMT 2022","31361","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""5"",""y"":""null"",""known_issues"":""3""}","invalid dirt patch position values {""x"":""5"",""y"":""null"",""known_issues"":""3""}",""
"failed","Thu Oct 13 14:49:42 GMT 2022","Thu Oct 13 14:50:14 GMT 2022","31722","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""-10"",""y"":""5"",""known_issues"":""""}","invalid dirt patch position values {""x"":""-10"",""y"":""5"",""known_issues"":""""}",""
"failed","Thu Oct 13 14:50:37 GMT 2022","Thu Oct 13 14:51:09 GMT 2022","31277","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""0.1"",""y"":""5"",""known_issues"":""""}","invalid dirt patch position values {""x"":""0.1"",""y"":""5"",""known_issues"":""""}",""
"failed","Thu Oct 13 14:47:06 GMT 2022","Thu Oct 13 14:47:40 GMT 2022","34835","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""\""\"""",""y"":""5"",""known_issues"":""9""}","invalid hoover start position values {""x"":""\""\"""",""y"":""5"",""known_issues"":""9""}",""
"passed","Thu Oct 13 14:42:13 GMT 2022","Thu Oct 13 14:42:44 GMT 2022","31829","","Cleaning Session Service (basic)","","Cleaning Session Service (basic)","Hit southwest corner","Hit southwest corner",""
"passed","Thu Oct 13 14:47:41 GMT 2022","Thu Oct 13 14:48:14 GMT 2022","32915","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""{}"",""y"":""5"",""known_issues"":""""}","invalid hoover start position values {""x"":""{}"",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:51:06 GMT 2022","Thu Oct 13 14:51:42 GMT 2022","35130","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""5"",""y"":""\""aa\"""",""known_issues"":""""}","invalid dirt patch position values {""x"":""5"",""y"":""\""aa\"""",""known_issues"":""""}",""
"passed","Thu Oct 13 14:48:49 GMT 2022","Thu Oct 13 14:49:20 GMT 2022","31511","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""5"",""y"":""true"",""known_issues"":""""}","invalid hoover start position values {""x"":""5"",""y"":""true"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:45:30 GMT 2022","Thu Oct 13 14:46:06 GMT 2022","35876","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""5"",""y"":""9999999999999999999999999999999999999999999999999999999999999999999999999999"",""known_issues"":""""}","invalid room size values {""x"":""5"",""y"":""9999999999999999999999999999999999999999999999999999999999999999999999999999"",""known_issues"":""""}",""
"failed","Thu Oct 13 14:46:26 GMT 2022","Thu Oct 13 14:46:57 GMT 2022","30932","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""-10"",""y"":""5"",""known_issues"":""9""}","invalid hoover start position values {""x"":""-10"",""y"":""5"",""known_issues"":""9""}",""
"passed","Thu Oct 13 14:47:44 GMT 2022","Thu Oct 13 14:48:23 GMT 2022","39324","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""5"",""y"":""\""aa\"""",""known_issues"":""""}","invalid hoover start position values {""x"":""5"",""y"":""\""aa\"""",""known_issues"":""""}",""
"passed","Thu Oct 13 14:52:13 GMT 2022","Thu Oct 13 14:52:50 GMT 2022","36342","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""5"",""y"":""true"",""known_issues"":""""}","invalid dirt patch position values {""x"":""5"",""y"":""true"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:41:16 GMT 2022","Thu Oct 13 14:41:54 GMT 2022","38211","","Cleaning Session Service (basic)","","Cleaning Session Service (basic)","No move instructions","No move instructions",""
"passed","Thu Oct 13 14:45:32 GMT 2022","Thu Oct 13 14:46:05 GMT 2022","33166","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""5"",""y"":""{}"",""known_issues"":""""}","invalid room size values {""x"":""5"",""y"":""{}"",""known_issues"":""""}",""
"failed","Thu Oct 13 14:47:10 GMT 2022","Thu Oct 13 14:47:42 GMT 2022","32308","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""0.1"",""y"":""5"",""known_issues"":""9""}","invalid hoover start position values {""x"":""0.1"",""y"":""5"",""known_issues"":""9""}",""
"passed","Thu Oct 13 14:51:05 GMT 2022","Thu Oct 13 14:51:36 GMT 2022","31483","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""{}"",""y"":""5"",""known_issues"":""""}","invalid dirt patch position values {""x"":""{}"",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:42:45 GMT 2022","Thu Oct 13 14:43:15 GMT 2022","30612","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""\""a\"""",""y"":""5"",""known_issues"":""""}","invalid room size values {""x"":""\""a\"""",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:48:38 GMT 2022","Thu Oct 13 14:49:11 GMT 2022","33179","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""5"",""y"":""false"",""known_issues"":""""}","invalid hoover start position values {""x"":""5"",""y"":""false"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:46:05 GMT 2022","Thu Oct 13 14:46:38 GMT 2022","32802","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""9999999999999999999999999999999999999999999999999999999999999999999999999999"",""y"":""5"",""known_issues"":""""}","invalid room size values {""x"":""9999999999999999999999999999999999999999999999999999999999999999999999999999"",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:49:27 GMT 2022","Thu Oct 13 14:49:58 GMT 2022","30972","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""\""a\"""",""y"":""5"",""known_issues"":""""}","invalid dirt patch position values {""x"":""\""a\"""",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:52:50 GMT 2022","Thu Oct 13 14:53:26 GMT 2022","36762","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""5"",""y"":""{\""a\"":\""b\""}"",""known_issues"":""""}","invalid dirt patch position values {""x"":""5"",""y"":""{\""a\"":\""b\""}"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:46:06 GMT 2022","Thu Oct 13 14:46:38 GMT 2022","32595","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""\""a\"""",""y"":""5"",""known_issues"":""""}","invalid hoover start position values {""x"":""\""a\"""",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:41:55 GMT 2022","Thu Oct 13 14:42:30 GMT 2022","35246","","Cleaning Session Service (basic)","","Cleaning Session Service (basic)","Hit north wall","Hit north wall",""
"passed","Thu Oct 13 14:44:52 GMT 2022","Thu Oct 13 14:45:23 GMT 2022","30929","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""5"",""y"":""\""a\"""",""known_issues"":""""}","invalid room size values {""x"":""5"",""y"":""\""a\"""",""known_issues"":""""}",""
"passed","Thu Oct 13 14:51:52 GMT 2022","Thu Oct 13 14:52:27 GMT 2022","34766","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""5"",""y"":""false"",""known_issues"":""""}","invalid dirt patch position values {""x"":""5"",""y"":""false"",""known_issues"":""""}",""
"failed","Thu Oct 13 14:50:32 GMT 2022","Thu Oct 13 14:51:05 GMT 2022","32501","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""\""\"""",""y"":""5"",""known_issues"":""3""}","invalid dirt patch position values {""x"":""\""\"""",""y"":""5"",""known_issues"":""3""}",""
"passed","Thu Oct 13 14:52:19 GMT 2022","Thu Oct 13 14:52:50 GMT 2022","30768","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""5"",""y"":""9999999999999999999999999999999999999999999999999999999999999999999999999999"",""known_issues"":""""}","invalid dirt patch position values {""x"":""5"",""y"":""9999999999999999999999999999999999999999999999999999999999999999999999999999"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:49:32 GMT 2022","Thu Oct 13 14:50:03 GMT 2022","30718","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""9999999999999999999999999999999999999999999999999999999999999999999999999999"",""y"":""5"",""known_issues"":""""}","invalid hoover start position values {""x"":""9999999999999999999999999999999999999999999999999999999999999999999999999999"",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:41:54 GMT 2022","Thu Oct 13 14:42:26 GMT 2022","31763","","Cleaning Session Service (basic)","","Cleaning Session Service (basic)","No patches covered","No patches covered",""
"failed","Thu Oct 13 14:44:48 GMT 2022","Thu Oct 13 14:45:20 GMT 2022","31566","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""5"",""y"":""0"",""known_issues"":""5""}","invalid room size values {""x"":""5"",""y"":""0"",""known_issues"":""5""}",""
"passed","Thu Oct 13 14:50:15 GMT 2022","Thu Oct 13 14:50:46 GMT 2022","31079","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""true"",""y"":""5"",""known_issues"":""""}","invalid dirt patch position values {""x"":""true"",""y"":""5"",""known_issues"":""""}",""
"failed","Thu Oct 13 14:43:34 GMT 2022","Thu Oct 13 14:44:09 GMT 2022","35275","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""\""\"""",""y"":""5"",""known_issues"":""6""}","invalid room size values {""x"":""\""\"""",""y"":""5"",""known_issues"":""6""}",""
"failed","Thu Oct 13 14:48:23 GMT 2022","Thu Oct 13 14:48:55 GMT 2022","32255","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""5"",""y"":""0.1"",""known_issues"":""10""}","invalid hoover start position values {""x"":""5"",""y"":""0.1"",""known_issues"":""10""}",""
"failed","Thu Oct 13 14:43:47 GMT 2022","Thu Oct 13 14:44:28 GMT 2022","40696","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""0.1"",""y"":""5"",""known_issues"":""6""}","invalid room size values {""x"":""0.1"",""y"":""5"",""known_issues"":""6""}",""
"failed","Thu Oct 13 14:44:48 GMT 2022","Thu Oct 13 14:45:20 GMT 2022","32304","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""5"",""y"":""-10"",""known_issues"":""7""}","invalid room size values {""x"":""5"",""y"":""-10"",""known_issues"":""7""}",""
"passed","Thu Oct 13 14:47:12 GMT 2022","Thu Oct 13 14:47:44 GMT 2022","31485","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""[1]"",""y"":""5"",""known_issues"":""""}","invalid hoover start position values {""x"":""[1]"",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:44:10 GMT 2022","Thu Oct 13 14:44:48 GMT 2022","38028","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""{}"",""y"":""5"",""known_issues"":""""}","invalid room size values {""x"":""{}"",""y"":""5"",""known_issues"":""""}",""
"failed","Thu Oct 13 14:46:38 GMT 2022","Thu Oct 13 14:47:12 GMT 2022","33503","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""null"",""y"":""5"",""known_issues"":""9""}","invalid hoover start position values {""x"":""null"",""y"":""5"",""known_issues"":""9""}",""
"passed","Thu Oct 13 14:45:20 GMT 2022","Thu Oct 13 14:45:54 GMT 2022","33088","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""5"",""y"":""false"",""known_issues"":""""}","invalid room size values {""x"":""5"",""y"":""false"",""known_issues"":""""}",""
"failed","Thu Oct 13 14:48:19 GMT 2022","Thu Oct 13 14:48:57 GMT 2022","38034","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""5"",""y"":""\""\"""",""known_issues"":""10""}","invalid hoover start position values {""x"":""5"",""y"":""\""\"""",""known_issues"":""10""}",""
"passed","Thu Oct 13 14:45:21 GMT 2022","Thu Oct 13 14:45:57 GMT 2022","35865","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""5"",""y"":""true"",""known_issues"":""""}","invalid room size values {""x"":""5"",""y"":""true"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:50:03 GMT 2022","Thu Oct 13 14:50:37 GMT 2022","34798","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""\""aa\"""",""y"":""5"",""known_issues"":""""}","invalid dirt patch position values {""x"":""\""aa\"""",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:52:59 GMT 2022","Thu Oct 13 14:53:32 GMT 2022","32522","","Cleaning Session Service (reuse server instance)","","Cleaning Session Service (reuse server instance)","No move instructions after previous pickup","No move instructions after previous pickup",""
"failed","Thu Oct 13 14:51:09 GMT 2022","Thu Oct 13 14:51:43 GMT 2022","33788","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""5"",""y"":""-1"",""known_issues"":""""}","invalid dirt patch position values {""x"":""5"",""y"":""-1"",""known_issues"":""""}",""
